question_no,question,A,B,C,D,E
1,"What are the core capabilities of United States Marine Forces Special Operations Command (MARSOC), according to Wikipedia?",Electronic warfare and intelligence analysis.,"Direct action, special reconnaissance and foreign internal defense.",Airborne operations and cyber warfare.,Maritime interdiction and unconventional warfare.,Counterintelligence and emergency medical response.
2,In which war did General Sir George Anson serve under the Duke of Wellington?,Crimean War,War of 1812,American Revolutionary War,Napoleonic Wars,French Revolution
3,What was P. Padmarajan's contribution to Malayalam cinema?,P. Padmarajan was a noted film critic who revolutionized film analysis and appraisal in Malayalam cinema.,"P. Padmarajan was an Indian film maker, screenwriter and author who established a new school of film making in Malayalam cinema during the 1980s.",P. Padmarajan was a pioneer in introducing advanced special effects in Malayalam cinema.,P. Padmarajan was a renowned cinematographer known for his innovative visual storytelling techniques in Malayalam cinema.,P. Padmarajan popularized the use of complex narratives and non-linear storytelling in Malayalam cinema.
4,What is the length of U.S. Route 11 in Georgia?,11 miles (17.7 km),36.7 miles (58.9 km),58 miles (93.3 km),22.8 miles (36.7 km),8 miles (12.9 km)
5,How is Edmond Malone best known for his contributions to literature?,"Edmond Malone is best known for his extensive research on the life and works of Geoffrey Chaucer, exploring the Canterbury Tales and revealing previously undiscovered manuscripts.","Edmond Malone is best known for his comprehensive analysis of Greek tragedies, providing insightful interpretations of works by Aeschylus, Sophocles, and Euripides.","Edmond Malone is best known for his groundbreaking research on John Milton's works and his critical analysis of Paradise Lost, shedding new light on the poem's themes and structure.","Edmond Malone is best known for his meticulous scholarship on the works of William Shakespeare, serving as a recognized authority on Shakespearean plays and editing their texts.","Edmond Malone is best known for his pioneering study of English Romantic poetry, focusing on the works of William Wordsworth and Samuel Taylor Coleridge and their poetic techniques."
6,Who directed the film Enakku Vaaitha Adimaigal?,Mahendran Rajamani,Santhosh Dhayanidhi,Shan Sutharsan,Jai,Pranitha
7,What is the Agadez Mosque made of?,The Agadez Mosque is made of concrete.,The Agadez Mosque is made of glass.,The Agadez Mosque is made of bamboo.,The Agadez Mosque is made of stone.,The Agadez Mosque is made of clay.
8,When was the first official live album release by British rock band New Model Army?,Raw Melody Men was released in 1991.,Raw Melody Men was released in 1992.,Raw Melody Men was released in 1990.,Raw Melody Men was released in 1989.,Raw Melody Men was released in 1993.
9,What were the objectives of the CoRoT space telescope mission?,To search for extrasolar planets with long orbital periods.,To study the composition of asteroids and comets in our solar system.,To search for extrasolar planets with short orbital periods.,To study the formation of galaxies and distant stars.,To study the impact of solar flares on Earth's atmosphere.
10,"In which year was the original Broadway play ""Girls"" by Clyde Fitch first performed?",1919,1909,1895,1925,None of the above.
11,What is Herbert Leuninger remembered for?,His activism and assistance for refugees,Contributing to the development of sustainable energy sources,Exploring the cultural impact of the Renaissance period,A pioneering work in the field of quantum physics,Advocating for animal rights and welfare
12,What industries does Volga-Dnepr Airlines primarily serve?,"Volga-Dnepr Airlines primarily serves the automotive and manufacturing industries, offering air charter services for transporting goods and materials.","Volga-Dnepr Airlines primarily serves governmental and commercial organizations in the petrochemical, energy, aerospace, agriculture, and telecommunications industries.","Volga-Dnepr Airlines primarily serves the healthcare and pharmaceutical industries, providing air transport for medical supplies and equipment.","Volga-Dnepr Airlines primarily serves the tourism and hospitality industries, transporting passengers to various destinations worldwide.","Volga-Dnepr Airlines primarily serves the entertainment and media industries, facilitating the transportation of film crews and equipment for productions."
13,"What biblical verse inspired the name of the Scum of the Earth Church in Denver, Colorado?","Ephesians 2:8-9, ""For it is by grace you have been saved, through faith...""","Romans 8:38-39, ""For I am convinced that neither death nor life...""","1 Corinthians 4:11-13, ""We have become the scum of the earth.""","John 3:16, ""For God so loved the world that he gave his one and only Son...""","Philippians 4:13, ""I can do all things through Christ who strengthens me."""
